n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
5.0,0.1,0.0,1.0,pH_a,0.0,0.0
5.0,0.11,0.8382985587204441,0.3879011485367077,Density_a,0.0010085806408050085,0.0033760567843520843
5.0,0.11,0.0,1.0,pH_a,0.0,0.0
5.0,0.12,0.8629800458391816,0.4805248240632076,Density_a,0.001405480151076554,0.0006791854156223606
5.0,0.12,0.0,1.0,pH_a,0.0,0.0
5.0,0.13,0.8438174164162854,0.4428000638836737,Density_a,0.0037313598350054156,0.011585881962088708
5.0,0.13,0.0,1.0,pH_a,0.0,0.0
5.0,0.14,0.8374762048831718,0.4606564238916729,Density_a,0.0029005389026746397,0.012114097821172292
5.0,0.14,0.0,1.0,pH_a,0.0,0.0
5.0,0.15,0.7972542931821669,0.5154635432044714,Density_a,0.0030498375658366524,0.005925612845915575
5.0,0.15,0.0,1.0,pH_a,0.0,0.0
5.0,0.16,0.8036438089826294,0.5469336908239208,Density_a,0.0028470058698425657,0.0024566137985458252
5.0,0.16,0.0,1.0,pH_a,0.0,0.0
5.0,0.17,0.7858761853586085,0.5892110236383512,Density_a,0.0012051438751267886,0.006304704280492897
5.0,0.17,0.0,1.0,pH_a,0.0,0.0
5.0,0.18,0.771899353527858,0.5677135341352214,Density_a,0.00499064214171157,0.0026601553657298665
5.0,0.18,0.0,1.0,pH_a,0.0,0.0
5.0,0.19,0.7373556019020933,0.5808257270661994,Density_a,0.0026327742858531103,0.0028376782674529605
5.0,0.19,0.0,1.0,pH_a,0.0,0.0
5.0,0.2,0.7303738969995645,0.6666829600583826,Density_a,0.0060282557628920045,0.0007007121692453606
5.0,0.2,0.0,1.0,pH_a,0.0,0.0
5.0,0.21,0.6929290445857458,0.6372361508398712,Density_a,0.0031693529979621234,0.004740978474090171
5.0,0.21,0.0,1.0,pH_a,0.0,0.0
5.0,0.22000000000000006,0.7157843632303973,0.6652347557266749,Density_a,0.0036982309725812467,0.0047464807320809245
5.0,0.22000000000000006,0.0,1.0,pH_a,0.0,0.0
5.0,0.23000000000000004,0.6912518045608558,0.6777245845855502,Density_a,0.002311292732547409,0.0007094947762813183
5.0,0.23000000000000004,0.0,1.0,pH_a,0.0,0.0
5.0,0.24,0.6748137888581102,0.7091064250296932,Density_a,0.007582305979319253,0.0022081253469775556
5.0,0.24,0.0,1.0,pH_a,0.0,0.0
5.0,0.25,0.6061816474513637,0.7745258964509221,Density_a,0.008987004222766774,0.003832042868100017
5.0,0.25,0.0,1.0,pH_a,0.0,0.0
5.0,0.26,0.6916759517177344,0.6994237042678744,Density_a,0.00441635922447744,0.00385945497320462
5.0,0.26,0.0,1.0,pH_a,0.0,0.0
5.0,0.27,0.6459021485689248,0.7542759056637768,Density_a,0.009208077127182229,0.0028673380534929033
5.0,0.27,0.0,1.0,pH_a,0.0,0.0
5.0,0.28,0.6883185066456413,0.7829470534641663,Density_a,0.00770797609685273,0.0025427018018679324
5.0,0.28,0.0,1.0,pH_a,0.0,0.0
5.0,0.29,0.6528617249768005,0.7487365640400929,Density_a,0.006631060521310691,0.0030710250487583075
5.0,0.29,0.0,1.0,pH_a,0.0,0.0
